VendorID,ItemNumber,ItemRevision,RequiredQuantity,DueDate,ItemSupplyKey,VendorKey,ItemKey
10037,"31169-1000",H ,1000,2018-03-28 00:00:00,288424435,110,7141
10037,"31169-1000",H ,1000,2018-04-30 00:00:00,288424449,110,7141
10037,"31169-1000",H ,1000,2018-05-24 00:00:00,288424463,110,7141
10037,"31169-1000",H ,1000,2018-05-31 00:00:00,288424477,110,7141
10037,"31169-1000",H ,1000,2018-11-29 00:00:00,288424490,110,7141
10037,"31169-1000",H ,1500,2017-12-27 00:00:00,288424397,110,7141
10037,"31169-1000",H ,2500,2017-10-17 00:00:00,288424365,110,7141
10037,"31169-1001",H ,100,2017-11-16 00:00:00,288424364,110,7142
10037,"31169-1001",H ,100,2018-11-02 00:00:00,288424379,110,7142
10037,"31169-1020",E ,200,2018-04-02 00:00:00,288425055,110,7146
10037,"31169-1020",E ,200,2018-05-03 00:00:00,288425057,110,7146
10037,"31169-1020",E ,200,2018-09-25 00:00:00,288425058,110,7146
10037,"31169-1020",E ,400,2018-02-28 00:00:00,288425054,110,7146
10037,"31169-1020",E ,400,2018-04-26 00:00:00,288425056,110,7146
10037,"31169-1020",E ,1200,2017-12-22 00:00:00,288425052,110,7146
10037,"31169-2020",G ,500,2017-10-13 00:00:00,288424388,110,7292
10037,"31169-2020",G ,500,2018-10-31 00:00:00,288424546,110,7292
10037,"31169-2020",G ,1000,2017-11-07 00:00:00,288424401,110,7292
10037,"31169-2020",G ,1000,2017-12-25 00:00:00,288424422,110,7292
10037,"31169-2020",G ,1000,2018-01-25 00:00:00,288424436,110,7292
10037,"31169-2020",G ,1000,2018-02-16 00:00:00,288424451,110,7292
10037,"31169-2020",G ,1000,2018-03-26 00:00:00,288424473,110,7292
10037,"31169-2020",G ,1000,2018-04-26 00:00:00,288424480,110,7292
10037,"31169-2020",G ,1000,2018-06-28 00:00:00,288424508,110,7292
10037,"31169-2020",G ,1000,2018-07-31 00:00:00,288424513,110,7292
10037,"31169-2020",G ,1000,2018-08-30 00:00:00,288424527,110,7292
10037,"31169-2020",G ,1000,2018-10-01 00:00:00,288424541,110,7292
10037,"31169-2020",G ,1500,2017-11-14 00:00:00,288424414,110,7292
10037,"31169-2020",G ,2000,2018-05-22 00:00:00,288424495,110,7292
10037,"31777-1110",A ,1,2017-06-16 00:00:00,288399612,110,51365
10037,"31777-1110",A ,2,2017-05-26 00:00:00,288399456,110,51365
10037,"31777-1110",A ,2,2017-05-26 00:00:00,288399521,110,51365
10037,"31777-1525",A ,1,2017-05-26 00:00:00,288399549,110,51349
10037,"31777-1525",A ,1,2017-05-26 00:00:00,288399639,110,51349
10038,"02-3102-01",AH,500,2018-03-22 00:00:00,279361131,111,553
10038,"02-3102-09",AH,4000,2018-03-15 00:00:00,284786870,111,562
10038,"02-3102-10",AH,500,2018-06-22 00:00:00,287746565,111,564
10038,"02-3102-13",AH,4000,2017-08-21 00:00:00,288411183,111,570
10046,"23032-1850",K ,250,2017-10-04 00:00:00,288422453,117,2938
10046,"23032-1850",K ,250,2017-12-07 00:00:00,288422460,117,2938
10046,"23032-1850",K ,250,2018-01-18 00:00:00,288422461,117,2938
