TYPE,JADE ORDER ITEM INDEX,JADE ORDER INDEX,ITEM LINE NUM,FS PO NUMBER,DUE DATE,VENDOR CODE,ITEM NUMBER,ITEM REV,ORDER QTY,TIMESTAMP,PO LINE KEY,ERROR,RECV QTY,LOT NUMBER,WAREHOUSE,SCAC,TRACK
"POREQ","","","1","POBK-012717-02","2017-06-27 00:00:00","98607","23081-1112","AB","25","","283062864","","","","","",""
"POREQ","","","1","POBK-012717-02","2017-07-18 00:00:00","98607","23081-1112","AB","25","","284321124","","","","","",""
"POREQ","","","1","POBK-012717-02","2017-08-08 00:00:00","98607","23081-1112","AB","25","","284321125","","","","","",""
"POREQ","","","1","POBK-012717-02","2017-08-22 00:00:00","98607","23081-1112","AB","25","","287003872","","","","","",""
"POREQ","","","1","POBK-012717-02","2017-09-01 00:00:00","98607","23081-1112","AB","25","","287003873","","","","","",""
"POREQ","","","1","POBK-012717-02","2017-09-08 00:00:00","98607","23081-1112","AB","25","","288001589","","","","","",""
"POREQ","","","1","POBK-012717-02","2017-05-19 00:00:00","98607","23081-1112","AB","28","","280658652","","","","","",""
"POREQ","","","1","POBK-012717-03","2017-06-22 00:00:00","10037","23085-1982","- ","20","","280658827","","","","","",""
"POREQ","","","1","POBK-012717-03","2017-09-12 00:00:00","10037","23085-1982","- ","20","","288001705","","","","","",""
"POREQ","","","1","POBK-012717-03","2017-05-11 00:00:00","10037","23085-1982","- ","20","","280658819","","","","","",""
"POREQ","","","1","POBK-012717-03","2017-08-03 00:00:00","10037","23085-1982","- ","40","","285919401","","","","","",""
"POREQ","","","1","POBK-012717-03","2017-08-10 00:00:00","10037","23085-1982","- ","60","","286405959","","","","","",""
"POREQ","","","1","POBK-012717-03","2017-08-24 00:00:00","10037","23085-1982","- ","180","","286405960","","","","","",""
"POREQ","","","1","POBK-012717-03","2017-06-08 00:00:00","10037","23085-1982","- ","260","","280870227","","","","","",""
"POREQ","","","1","POBK-012717-05","2017-06-07 00:00:00","10107","30089-2020","- ","20","","284321173","","","","","",""
"POREQ","","","1","POBK-012717-05","2017-06-26 00:00:00","10107","30089-2020","- ","20","","286542468","","","","","",""
"POREQ","","","1","POBK-012717-06","2017-06-13 00:00:00","10037","31169-1000","H ","1000","","281702021","","","","","",""
"POREQ","","","1","POBK-012717-06","2017-06-14 00:00:00","10037","31169-1000","H ","1000","","284733764","","","","","",""
"POREQ","","","1","POBK-012717-06","2017-09-21 00:00:00","10037","31169-1000","H ","1000","","288306480","","","","","",""
"POREQ","","","1","POBK-012717-06","2017-08-16 00:00:00","10037","31169-1000","H ","1500","","285919425","","","","","",""
"POREQ","","","1","POBK-012717-06","2017-09-22 00:00:00","10037","31169-1000","H ","2000","","288001719","","","","","",""
"POREQ","","","1","POBK-012717-07","2017-06-09 00:00:00","10047","31169-1845","C ","10","","285919433","","","","","",""
"POREQ","","","1","POBK-012717-07","2017-06-26 00:00:00","10047","31169-1845","C ","10","","285919434","","","","","",""
"POREQ","","","1","POBK-012717-07","2017-07-10 00:00:00","10047","31169-1845","C ","10","","288001724","","","","","",""
"POREQ","","","1","POBK-013117-01","2017-06-13 00:00:00","98867","02-2030-19","AH","500","","285431297","","","","","",""
"POREQ","","","1","POBK-020817-01","2017-06-29 00:00:00","1365","02-4300-24","BK","400","","286198338","","","","","",""
"POREQ","","","1","POBK-020817-02","2017-05-22 00:00:00","10062","02-4390-16","AL","20","","284321085","","","","","",""
"POREQ","","","1","POBK-020817-03","2017-07-28 00:00:00","10046","23046-1320","M ","100","","288001575","","","","","",""
"POREQ","","","1","POBK-020917-02","2017-06-13 00:00:00","10037","31169-1020","E ","200","","281702022","","","","","",""
"POREQ","","","1","POBK-020917-02","2017-09-12 00:00:00","10037","31169-1020","E ","200","","287515200","","","","","",""
"POREQ","","","1","POBK-020917-02","2017-05-15 00:00:00","10037","31169-1020","E ","400","","281358003","","","","","",""
"POREQ","","","1","POBK-020917-02","2017-06-12 00:00:00","10037","31169-1020","E ","400","","281358004","","","","","",""
"POREQ","","","1","POBK-020917-02","2017-07-17 00:00:00","10037","31169-1020","E ","400","","281702023","","","","","",""
"POREQ","","","1","POBK-020917-02","2017-08-28 00:00:00","10037","31169-1020","E ","600","","285919427","","","","","",""
"POREQ","","","1","POBK-020917-02","2017-09-04 00:00:00","10037","31169-1020","E ","1000","","285919429","","","","","",""
"POREQ","","","1","POBK-020917-02","2017-09-11 00:00:00","10037","31169-1020","E ","1400","","286405986","","","","","",""
"POREQ","","","1","POBK-020917-03","2017-07-10 00:00:00","10037","31169-2020","G ","500","","284321181","","","","","",""
"POREQ","","","1","POBK-020917-03","2017-06-26 00:00:00","10037","31169-2020","G ","1500","","283063288","","","","","",""
"POREQ","","","1","POBK-020917-03","2017-08-02 00:00:00","10037","31169-2020","G ","1500","","284733768","","","","","",""
"POREQ","","","1","POBK-020917-03","2017-09-22 00:00:00","10037","31169-2020","G ","2000","","288306484","","","","","",""
"POREQ","","","1","POBK-021517-01","2017-06-30 00:00:00","11452","FA434","* ","1000","","287389789","","","","","",""
"POREQ","","","1","POBK-021517-02","2017-07-06 00:00:00","98859","23091-1140","K ","7","","281702014","","","","","",""
"POREQ","","","1","POBK-021517-02","2017-08-10 00:00:00","98859","23091-1140","K ","8","","283062865","","","","","",""
"POREQ","","","1","POBK-021517-02","2017-09-14 00:00:00","98859","23091-1140","K ","8","","285919402","","","","","",""
"POREQ","","","1","POBK-021517-02","2017-07-13 00:00:00","98859","23091-1140","K ","9","","281702015","","","","","",""
"POREQ","","","1","POBK-021517-02","2017-08-24 00:00:00","98859","23091-1140","K ","10","","283062866","","","","","",""
"POREQ","","","1","POBK-021517-02","2017-09-21 00:00:00","98859","23091-1140","K ","10","","285919403","","","","","",""
"POREQ","","","1","POBK-021517-04","2018-02-28 00:00:00","10038","02-3102-11","AH","100","","281771491","","","","","",""
"POREQ","","","1","POBK-021517-04","2018-05-31 00:00:00","10038","02-3102-11","AH","100","","281771492","","","","","",""
"POREQ","","","1","POBK-021517-04","2018-08-09 00:00:00","10038","02-3102-11","AH","100","","281771487","","","","","",""
"POREQ","","","1","POBK-021517-05","2017-05-31 00:00:00","10037","23073-1014","AA","20","","283340065","","","","","",""
"POREQ","","","1","POBK-021517-05","2017-07-31 00:00:00","10037","23073-1014","AA","20","","286405947","","","","","",""
"POREQ","","","1","POBK-021517-05","2017-08-11 00:00:00","10037","23073-1014","AA","20","","287003866","","","","","",""
"POREQ","","","1","POBK-021517-07","2017-06-26 00:00:00","10046","31169-2301","E ","15","","286473835","","","","","",""
"POREQ","","","1","POBK-021517-07","2017-05-29 00:00:00","10046","31169-2301","E ","19","","284321188","","","","","",""
"POREQ","","","1","POBK-021717-02","2017-06-15 00:00:00","V0039","29-281800","B ","85","","286405968","","","","","",""
"POREQ","","","2","PS-022217-201212","2017-05-29 00:00:00","12080","201212","S ","21600","","286675219","","","","","",""
"POREQ","","","2","PS-022217-201212","2017-06-12 00:00:00","12080","201212","S ","21600","","286675220","","","","","",""
"POREQ","","","2","PS-022217-201212","2017-07-03 00:00:00","12080","201212","S ","21600","","286675221","","","","","",""
"POREQ","","","2","PS-022217-201212","2017-07-10 00:00:00","12080","201212","S ","21600","","286675222","","","","","",""
"POREQ","","","2","PS-022217-201212","2017-07-17 00:00:00","12080","201212","S ","21600","","286675223","","","","","",""
"POREQ","","","2","PS-022217-201212","2017-08-07 00:00:00","12080","201212","S ","21600","","287389831","","","","","",""
"POREQ","","","2","PS-022217-201212","2017-08-21 00:00:00","12080","201212","S ","21600","","288001733","","","","","",""
"POREQ","","","1","POBK-022317-01","2017-06-20 00:00:00","11452","PN397","* ","1000","","284115377","","","","","",""
"POREQ","","","1","POBK-022317-01","2017-07-07 00:00:00","11452","PN397","* ","1000","","284115378","","","","","",""
"POREQ","","","1","POBK-022417-01","2017-06-19 00:00:00","880002","2709963-1","D ","10000","","286608767","","","","","",""
"POREQ","","","1","POBK-022817-01","2017-12-06 00:00:00","11452","NAS558-404-62","* ","100","","282643191","","","","","",""
"POREQ","","","1","POBK-030617-01","2017-08-21 00:00:00","98859","23032-3631","--","6","","284733726","","","","","",""
"POREQ","","","1","POBK-030617-01","2017-07-28 00:00:00","98859","23032-3631","--","7","","283132442","","","","","",""
"POREQ","","","1","POBK-030617-01","2017-08-11 00:00:00","98859","23032-3631","--","7","","284321092","","","","","",""
"POREQ","","","1","POBK-030617-02","2017-06-29 00:00:00","10037","31169-1001","H ","100","","287515199","","","","","",""
"POREQ","","","1","PO-030617 - B14515XA","2017-04-10 00:00:00","V0018","B14515XA","C ","2000","","283063013","","","","","",""
"POREQ","","","1","POBK-030617-04","2017-07-14 00:00:00","98867","31169-1931","A ","50","","287515202","","","","","",""
"POREQ","","","1","POBK-030717-01","2017-06-06 00:00:00","10037","23081-1000","E ","4750","","284321111","","","","","",""
"POREQ","","","1","POBK-030717-01","2017-06-26 00:00:00","10037","23081-1000","E ","5000","","285919363","","","","","",""
"POREQ","","","1","POBK-030717-01","2017-07-18 00:00:00","10037","23081-1000","E ","5000","","287003871","","","","","",""
"POREQ","","","1","POBK-030717-01","2017-08-08 00:00:00","10037","23081-1000","E ","5000","","288001587","","","","","",""
"POREQ","","","1","POBK-030817-01","2017-06-12 00:00:00","880027","67620205-3","B ","50","","283201137","","","","","",""
"POREQ","","","1","POBK-030817-01","2017-08-21 00:00:00","880027","67620205-3","B ","52","","286608951","","","","","",""
"POREQ","","","1","POBK-030817-01","2017-06-26 00:00:00","880027","67620205-3","B ","70","","285431228","","","","","",""
"POREQ","","","1","POBK-030817-01","2017-07-24 00:00:00","880027","67620205-3","B ","80","","286608949","","","","","",""
"POREQ","","","1","PO-031517-90-8388-1","2017-05-01 00:00:00","30060","90-8388-1","C ","100000","","283697666","","","","","",""
"POREQ","","","1","POBK-031517-02","2017-07-10 00:00:00","10046","31169-1271","E ","20","","285919428","","","","","",""
"POREQ","","","1","POBK-031517-02","2017-08-25 00:00:00","10046","31169-1271","E ","20","","288306481","","","","","",""
"POREQ","","","1","POBK-031517-02","2017-05-30 00:00:00","10046","31169-1271","E ","80","","283772115","","","","","",""
"POREQ","","","1","POBK-031617-01","2017-08-31 00:00:00","10047","516853-105","E ","5","","283772113","","","","","",""
"POREQ","","","1","POBK-031617-01","2017-09-18 00:00:00","10047","516853-105","E ","10","","284046296","","","","","",""
"POREQ","","","1","POBK-031617-02","2017-11-08 00:00:00","10037","2709493-1","C ","3000","","286938182","","","","","",""
"POREQ","","","1","POBK-031617-02","2017-06-28 00:00:00","10037","2709493-1","C ","9000","","283772117","","","","","",""
"POREQ","","","1","POBK-031617-02","2017-07-05 00:00:00","10037","2709493-1","C ","9000","","283772118","","","","","",""
"POREQ","","","1","POBK-031617-02","2017-10-04 00:00:00","10037","2709493-1","C ","9000","","286938181","","","","","",""
"POREQ","","","1","PO-032117-B14140XG","2017-06-19 00:00:00","V0018","B14140XG","J ","2000","","287326374","","","","","",""
"POREQ","","","3","PS-032117-35","2017-04-17 00:00:00","11425","201216","AC","30000","","284115786","","","","","",""
"POREQ","","","3","PS-032117-35","2017-04-24 00:00:00","11425","201216","AC","30000","","284115787","","","","","",""
"POREQ","","","3","PS-032117-35","2017-05-01 00:00:00","11425","201216","AC","30000","","284115788","","","","","",""
"POREQ","","","3","PS-032117-35","2017-05-08 00:00:00","11425","201216","AC","30000","","284115789","","","","","",""
"POREQ","","","3","PS-032117-35","2017-05-15 00:00:00","11425","201216","AC","30000","","284115790","","","","","",""
"POREQ","","","3","PS-032117-35","2017-05-22 00:00:00","11425","201216","AC","30000","","284115791","","","","","",""
"POREQ","","","3","PS-032117-35","2017-05-29 00:00:00","11425","201216","AC","30000","","284115792","","","","","",""
"POREQ","","","3","PS-032117-35","2017-06-05 00:00:00","11425","201216","AC","30000","","284115793","","","","","",""
"POREQ","","","1","PS-032117-35","2017-07-03 00:00:00","11425","201214","AC","20000","","287389787","","","","","",""
"POREQ","","","1","PS-032117-35","2017-07-10 00:00:00","11425","201214","AC","20000","","288001532","","","","","",""
"POREQ","","","1","PS-032117-35","2017-07-17 00:00:00","11425","201214","AC","20000","","288001533","","","","","",""
"POREQ","","","1","PS-032117-35","2017-06-05 00:00:00","11425","201214","AC","30000","","284115763","","","","","",""
"POREQ","","","2","PS-032117-35","2017-07-10 00:00:00","11425","201215","AJ","20000","","288001517","","","","","",""
"POREQ","","","2","PS-032117-35","2017-07-17 00:00:00","11425","201215","AJ","20000","","288001518","","","","","",""
